announced_at_utc,channel_name,symbol,exchange,is_success,pump_date_utc,label,label_numeric,reason_codes,source_repo,source_url,notes
2021-09-19T17:00:11Z,Kucoin Pump Signals | Crypto Trading,FXS,Binance,1,2021-09-19T17:00:00Z,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-09-21T13:50:06Z,Binance Moon Pump™,NAV,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-09-22T13:07:05Z,Binance Moon Pump™,NEBL,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-09-22T13:14:27Z,Binance Moon Pump™,PNT,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-09-22T14:24:02Z,Binance Moon Pump™,EVX,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-09-22T16:00:04Z,Whales Crypto Expert™,NXS,Binance,1,2021-09-22T16:00:00Z,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-09-23T14:20:24Z,Binance Moon Pump™,FIO,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-09-25T11:07:31Z,Binance Moon Pump™,SUPER,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-09-28T14:18:48Z,Binance Moon Pump™,MTH,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
2021-09-30T14:07:22Z,Binance Moon Pump™,APPC,Binance,0,,pump_and_dump,1,telegram_pump_channel,ArdiaD/PumpDump,https://github.com/ArdiaD/PumpDump,
